## [BeGaze]
## Converted from:	\\Ivr-x-1134-0601\shareddocs\sm\procenko001-002.idf
## Date:	25.04.2015 14:47:46
## Version:	BeGaze 3.5.101
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Trial
## Trial Count:	21
## Uses Plane File:	False
## Number of Samples:	39861
## Reversed:	none
## [Run]
## Subject:	procenko001-002
## Description:	Run27
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;108)
## Calibration Point 2:	Position(1728;270)
## Calibration Point 3:	Position(1440;972)
## Calibration Point 4:	Position(192;810)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1134-06012-NRB
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],L Event Info
22792259072,SMP,18,965.77,528.67,Fixation
22792263094,SMP,18,965.92,531.14,Fixation
22792267068,SMP,18,965.81,530.14,Fixation
22792271105,SMP,18,966.00,529.74,Fixation
22792275076,SMP,18,964.70,527.75,Fixation
22792279077,SMP,18,963.92,525.37,Fixation
22792283066,SMP,18,963.58,522.57,Fixation
22792287091,SMP,18,962.89,520.97,Fixation
22792291073,SMP,18,962.32,515.49,Fixation
22792295070,SMP,18,961.44,515.41,Fixation
22792299068,SMP,18,960.57,512.97,Fixation
22792303086,SMP,18,960.23,510.75,Fixation
22792307093,SMP,18,959.86,505.75,Fixation
22792311083,SMP,18,959.39,501.97,Fixation
22792315067,SMP,18,959.43,500.60,Fixation
22792319080,SMP,18,961.24,499.37,Fixation
22792323092,SMP,18,962.17,495.27,Fixation
22792327088,SMP,18,964.56,492.04,Fixation
22792331067,SMP,18,966.00,490.86,Fixation
22792335089,SMP,18,967.34,494.15,Fixation
22792339070,SMP,18,967.83,495.31,Fixation
22792343099,SMP,18,967.99,495.66,Fixation
22792347068,SMP,18,967.28,502.21,Fixation
22792351090,SMP,18,968.10,507.55,Fixation
22792355075,SMP,18,967.65,503.80,Fixation
22792359080,SMP,18,967.24,498.87,Fixation
22792363071,SMP,18,966.57,493.60,Fixation
