## [BeGaze]
## Converted from:	\\Ivr-x-1134-0601\begazedatafromstimulipc\fw\data4Paul\ARU\EMIP3_2_1\ARU-P05-[fbc020e3-72c0-4603-ae37-7180360735d5]\ARU-P05-eye_data.idf
## Date:	27.07.2015 22:59:53
## Version:	BeGaze 3.5.101
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	8325
## Reversed:	none
## [Run]
## Subject:	ARU-P05
## Description:	Run5
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;54)
## Calibration Point 2:	Position(1824;270)
## Calibration Point 3:	Position(1440;1026)
## Calibration Point 4:	Position(96;810)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	RMX0993602-1450//SMI_RED250mobile
## Operating System :	6.2.9200
## IView X Version:	4.2.0.0
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	, RIGHT, POR
##
Time,Type,Trial,R POR X [px],R POR Y [px],R Event Info
824113654,SMP,1,1015.0206,347.8406,Fixation
824117647,SMP,1,1017.9269,347.1180,Fixation
824121640,SMP,1,1017.2760,347.2867,Fixation
824125633,SMP,1,1016.0863,348.3379,Fixation
824129626,SMP,1,1014.9665,349.0520,Fixation
824133619,SMP,1,1014.7171,350.8847,Fixation
824137612,SMP,1,1019.4455,355.3011,Fixation
824141605,SMP,1,1018.0964,357.5258,Fixation
824145598,SMP,1,1016.0862,356.1248,Fixation
824149598,SMP,1,1013.4727,357.8140,Fixation
824153597,SMP,1,1013.8951,362.4689,Fixation
824157597,SMP,1,1017.5868,356.9576,Fixation
824161596,SMP,1,1013.7832,360.7510,Fixation
824165596,SMP,1,1012.7493,357.8089,Fixation
824169596,SMP,1,1013.8519,356.0062,Fixation
824173595,SMP,1,1015.8099,360.7393,Fixation
824177595,SMP,1,1017.1075,363.7303,Fixation
824181594,SMP,1,1016.8708,362.9339,Fixation
824185594,SMP,1,1017.1076,362.4579,Fixation
824189599,SMP,1,1017.4922,358.5238,Fixation
824193604,SMP,1,1017.1964,354.9291,Fixation
824197609,SMP,1,1017.9503,355.6349,Fixation
824201614,SMP,1,1016.2276,356.1843,Fixation
824205619,SMP,1,1019.1229,356.8607,Fixation
824209624,SMP,1,1021.3273,358.2419,Fixation
824213630,SMP,1,1019.8714,359.3644,Fixation
824217635,SMP,1,1017.4192,359.4225,Fixation
824221640,SMP,1,1013.5756,360.7447,Fixation
824225645,SMP,1,1011.0660,360.9934,Fixation
824229650,SMP,1,1007.9926,358.9429,Fixation
824233655,SMP,1,1008.5322,357.9019,Fixation
824237660,SMP,1,1011.6708,357.6891,Fixation
824241665,SMP,1,1013.7903,357.8836,Fixation
824245670,SMP,1,1008.5861,361.6502,Fixation
824249675,SMP,1,1008.2688,357.3321,Fixation
824253680,SMP,1,1008.2384,352.3432,Fixation
824257685,SMP,1,1006.8351,354.2818,Fixation
824261690,SMP,1,1010.6507,354.1792,Fixation
824265695,SMP,1,1010.2252,348.7405,Fixation
824269700,SMP,1,1008.4951,348.7097,Fixation
824273705,SMP,1,1013.6077,345.7302,Fixation
824277710,SMP,1,1013.0156,343.0529,Fixation
824281716,SMP,1,1012.2592,344.1357,Fixation
824285721,SMP,1,1015.6549,341.8315,Fixation
824289726,SMP,1,1014.8385,339.3868,Fixation
824293731,SMP,1,1017.0396,339.9206,Fixation
824297736,SMP,1,1017.2926,337.6565,Fixation
824301741,SMP,1,1016.8581,336.9417,Fixation
824305746,SMP,1,1016.6143,336.5729,Fixation
824309751,SMP,1,1016.1024,336.7106,Saccade
824313756,SMP,1,1018.7586,337.9011,Saccade
824317761,SMP,1,1015.8294,337.8930,Saccade
824321766,SMP,1,967.1772,342.5128,Saccade
824325771,SMP,1,864.4090,353.2138,Saccade
824329776,SMP,1,819.2857,351.5291,Saccade
824333781,SMP,1,823.6966,364.5242,Saccade
824337786,SMP,1,839.6661,369.4896,Saccade
824341791,SMP,1,839.7255,372.3902,Saccade
824345797,SMP,1,849.1252,381.8927,Saccade
824349797,SMP,1,847.0650,378.1343,Fixation
824353797,SMP,1,844.2780,378.5945,Fixation
824357797,SMP,1,850.0760,388.2464,Fixation
824361797,SMP,1,847.3052,387.8385,Fixation
824365797,SMP,1,847.6259,391.5882,Fixation
824369797,SMP,1,850.4512,389.4542,Fixation
824373798,SMP,1,853.6905,392.8141,Fixation
824377798,SMP,1,852.2945,395.2861,Fixation
824381798,SMP,1,847.9174,388.5866,Fixation
824385798,SMP,1,849.2221,394.3239,Fixation
824389798,SMP,1,851.1436,394.6884,Fixation
824393801,SMP,1,856.3697,394.6424,Fixation
824397803,SMP,1,852.0164,396.1778,Fixation
824401806,SMP,1,845.7781,396.3951,Fixation
824405808,SMP,1,848.7103,396.7035,Fixation
824409811,SMP,1,849.1149,396.7274,Fixation
824413814,SMP,1,850.2808,397.3177,Fixation
824417816,SMP,1,847.3829,400.7234,Fixation
824421819,SMP,1,843.8893,396.3510,Fixation
824425821,SMP,1,845.9552,404.8538,Fixation
824429824,SMP,1,847.4798,403.8833,Fixation
824433826,SMP,1,847.9285,402.8131,Fixation
824437829,SMP,1,845.1394,402.0698,Fixation
824441832,SMP,1,847.0533,409.7678,Fixation
824445834,SMP,1,846.3607,407.4029,Fixation
824449837,SMP,1,842.7481,402.5588,Fixation
824453839,SMP,1,845.2500,407.5343,Fixation
824457842,SMP,1,841.0135,409.7267,Fixation
824461844,SMP,1,842.6686,405.5692,Saccade
824465847,SMP,1,842.6082,407.5167,Saccade
824469849,SMP,1,838.0202,397.1657,Saccade
824473852,SMP,1,823.7607,357.1875,Saccade
824477855,SMP,1,815.7094,284.7814,Saccade
824481857,SMP,1,820.7936,241.7238,Saccade
824485860,SMP,1,818.3340,236.7816,Saccade
824489862,SMP,1,816.6242,205.9534,Saccade
824493865,SMP,1,803.1363,200.0652,Saccade
824497867,SMP,1,805.6561,183.1426,Saccade
824501870,SMP,1,803.9371,186.7830,Saccade
824505872,SMP,1,801.3897,190.3763,Fixation
824509875,SMP,1,799.8996,181.7269,Fixation
824513878,SMP,1,800.6678,183.2673,Fixation
824517880,SMP,1,797.6833,177.7260,Fixation
824521883,SMP,1,803.7481,172.1628,Fixation
824525885,SMP,1,799.5750,174.4402,Fixation
824529888,SMP,1,801.7347,166.9145,Fixation
824533890,SMP,1,796.7666,169.4529,Fixation
824537893,SMP,1,800.7260,160.8184,Fixation
824541896,SMP,1,797.4988,166.9021,Fixation
824545898,SMP,1,799.7019,165.2953,Fixation
824549900,SMP,1,801.7110,166.2081,Fixation
824553901,SMP,1,803.9498,167.2039,Fixation
824557903,SMP,1,804.0106,163.7357,Fixation
824561904,SMP,1,805.3450,167.8014,Fixation
824565906,SMP,1,800.4235,166.2073,Fixation
824569907,SMP,1,801.0760,168.5275,Fixation
824573909,SMP,1,802.7539,168.2471,Fixation
824577910,SMP,1,803.9050,164.9552,Fixation
824581912,SMP,1,801.7521,168.2772,Fixation
824585913,SMP,1,802.2880,166.8560,Fixation
824589915,SMP,1,801.1556,170.9992,Fixation
824593916,SMP,1,801.3148,165.6349,Fixation
824597916,SMP,1,798.2686,160.3539,Fixation
824601915,SMP,1,797.4084,165.9203,Fixation
824605914,SMP,1,794.6363,164.3653,Fixation
824609914,SMP,1,795.7994,163.8214,Fixation
824613913,SMP,1,796.6238,164.2023,Fixation
824617913,SMP,1,796.9167,164.8779,Fixation
824621912,SMP,1,794.6927,163.7810,Fixation
824625911,SMP,1,798.9713,167.6648,Fixation
824629911,SMP,1,795.8859,167.1797,Fixation
824633910,SMP,1,794.7038,165.1057,Fixation
824637910,SMP,1,793.5331,169.1277,Fixation
824641909,SMP,1,797.7876,170.8059,Fixation
824645908,SMP,1,797.2890,169.5633,Fixation
824649908,SMP,1,799.4112,171.1821,Fixation
824653907,SMP,1,799.8645,172.1949,Fixation
824657907,SMP,1,797.0189,172.5455,Fixation
824661906,SMP,1,796.0676,171.5984,Fixation
824665905,SMP,1,793.8348,173.2799,Fixation
824669905,SMP,1,792.7342,174.7169,Fixation
824673904,SMP,1,790.3499,172.3284,Fixation
824677904,SMP,1,788.2236,167.9465,Fixation
824681903,SMP,1,782.7276,160.4237,Fixation
824685902,SMP,1,778.5026,145.8209,Fixation
824689902,SMP,1,775.0872,144.4777,Fixation
824693901,SMP,1,774.7712,144.7507,Fixation
824697901,SMP,1,772.0727,147.4572,Fixation
824701900,SMP,1,769.7584,143.6426,Fixation
824705900,SMP,1,766.8270,138.2623,Fixation
824709899,SMP,1,767.5924,138.6308,Fixation
824713898,SMP,1,765.8453,132.5307,Fixation
824717898,SMP,1,765.1918,135.4554,Fixation
824721897,SMP,1,763.2527,134.1260,Fixation
824725897,SMP,1,764.3319,134.3291,Fixation
824729896,SMP,1,765.9323,137.6514,Fixation
824733895,SMP,1,765.8136,136.6126,Fixation
824737895,SMP,1,765.5613,136.3632,Fixation
824741894,SMP,1,767.5032,135.3646,Fixation
824745894,SMP,1,765.7221,136.3591,Fixation
824749892,SMP,1,767.1057,132.2774,Fixation
824753891,SMP,1,767.6997,132.5483,Fixation
824757889,SMP,1,761.1578,135.5526,Fixation
824761888,SMP,1,763.3144,131.7342,Fixation
824765886,SMP,1,762.3701,129.3888,Fixation
824769885,SMP,1,757.4150,132.6898,Fixation
824773883,SMP,1,758.3384,133.1116,Fixation
824777882,SMP,1,756.4400,133.6621,Fixation
824781880,SMP,1,761.0490,134.0640,Fixation
824785879,SMP,1,757.6309,134.8071,Fixation
824789877,SMP,1,757.0830,137.5467,Fixation
824793876,SMP,1,757.3028,139.4878,Fixation
824797875,SMP,1,757.4973,138.1449,Fixation
824801873,SMP,1,758.5312,138.9158,Fixation
824805871,SMP,1,758.0043,139.5255,Fixation
824809869,SMP,1,759.6375,138.3774,Fixation
824813867,SMP,1,759.2123,138.5452,Fixation
824817865,SMP,1,760.3343,137.5013,Fixation
824821864,SMP,1,760.5961,137.7006,Fixation
824825862,SMP,1,758.8786,136.7819,Fixation
824829860,SMP,1,758.0200,137.4052,Fixation
824833858,SMP,1,759.0313,137.8889,Fixation
824837856,SMP,1,758.8630,136.2213,Fixation
824841854,SMP,1,760.9192,136.7805,Fixation
824845853,SMP,1,760.2722,136.3669,Fixation
824849851,SMP,1,759.3040,131.9103,Fixation
824853849,SMP,1,763.7128,134.8330,Fixation
824857847,SMP,1,765.6424,133.0006,Fixation
824861845,SMP,1,766.2892,134.2661,Fixation
824865843,SMP,1,764.3154,131.6508,Fixation
824869841,SMP,1,762.3538,130.7269,Fixation
824873840,SMP,1,760.1189,126.3172,Fixation
824877838,SMP,1,763.4935,125.8429,Fixation
824881836,SMP,1,766.0628,126.0274,Fixation
824885834,SMP,1,764.0700,120.3641,Fixation
824889832,SMP,1,759.3869,119.6342,Fixation
824893830,SMP,1,760.3417,121.4354,Fixation
824897829,SMP,1,762.2648,119.4862,Fixation
824901827,SMP,1,759.2261,118.7822,Fixation
824905825,SMP,1,757.1551,117.4377,Fixation
824909823,SMP,1,757.7282,120.0113,Fixation
824913821,SMP,1,761.2129,118.7894,Fixation
824917819,SMP,1,762.7134,115.8198,Fixation
824921818,SMP,1,761.4356,119.8078,Fixation
824925816,SMP,1,757.6010,121.6005,Fixation
824929814,SMP,1,760.0441,124.4976,Fixation
824933812,SMP,1,763.4031,124.3122,Fixation
824937810,SMP,1,764.7964,122.7291,Fixation
824941808,SMP,1,763.0036,124.7098,Fixation
824945807,SMP,1,762.3557,128.9804,Fixation
824949807,SMP,1,763.4434,130.1811,Fixation
824953807,SMP,1,763.8666,126.6589,Fixation
824957807,SMP,1,763.4222,123.7464,Fixation
824961807,SMP,1,759.4071,125.2442,Fixation
824965807,SMP,1,757.4051,125.8552,Fixation
824969807,SMP,1,756.9055,124.1589,Fixation
824973807,SMP,1,756.9291,124.7982,Fixation
824977807,SMP,1,754.7956,125.7484,Fixation
824981807,SMP,1,752.6885,127.9900,Fixation
824985807,SMP,1,753.1268,128.3734,Fixation
824989807,SMP,1,751.5265,129.0392,Fixation
824993807,SMP,1,750.3855,125.6979,Fixation
824997807,SMP,1,749.4326,125.9695,Fixation
825001807,SMP,1,751.2677,124.5293,Fixation
825005808,SMP,1,751.6342,128.4957,Fixation
825009810,SMP,1,753.5884,127.7040,Fixation
825013811,SMP,1,752.7537,127.8322,Fixation
825017812,SMP,1,754.5268,127.3278,Fixation
825021814,SMP,1,755.2014,125.9839,Fixation
825025815,SMP,1,758.0660,124.3111,Fixation
825029816,SMP,1,759.8221,124.7550,Fixation
825033818,SMP,1,760.7634,122.5726,Fixation
825037819,SMP,1,758.5110,121.3439,Fixation
825041820,SMP,1,758.7455,121.2706,Fixation
825045822,SMP,1,759.1183,122.7687,Fixation
825049823,SMP,1,758.3676,120.8825,Fixation
825053824,SMP,1,756.9250,123.1508,Fixation
825057826,SMP,1,756.5825,124.8575,Fixation
825061827,SMP,1,758.9457,124.7822,Fixation
825065828,SMP,1,758.6704,121.7450,Fixation
825069829,SMP,1,759.5974,121.8574,Fixation
825073831,SMP,1,758.3268,123.3949,Fixation
825077832,SMP,1,758.2845,126.3181,Fixation
825081833,SMP,1,760.2314,124.8955,Fixation
825085835,SMP,1,762.2230,123.3801,Fixation
825089836,SMP,1,761.4254,125.0157,Fixation
825093837,SMP,1,760.7791,123.0478,Fixation
825097839,SMP,1,760.6511,117.5180,Fixation
825101840,SMP,1,761.7176,120.5522,Fixation
825105841,SMP,1,761.1811,120.7382,Fixation
825109843,SMP,1,758.9754,122.9061,Fixation
825113844,SMP,1,760.1540,124.8752,Fixation
825117845,SMP,1,758.6630,121.9907,Fixation
825121847,SMP,1,760.1370,125.0222,Fixation
825125848,SMP,1,759.6262,127.2755,Fixation
825129849,SMP,1,758.4624,130.7613,Fixation
825133851,SMP,1,760.3443,127.1001,Fixation
825137852,SMP,1,759.0892,122.9421,Fixation
825141853,SMP,1,759.9354,125.7114,Fixation
825145855,SMP,1,759.2091,128.1080,Fixation
825149855,SMP,1,757.0613,130.3675,Fixation
825153855,SMP,1,758.5789,123.4045,Fixation
825157855,SMP,1,759.0388,125.6039,Fixation
825161856,SMP,1,758.2761,126.4250,Fixation
825165856,SMP,1,757.9549,123.6770,Fixation
825169856,SMP,1,759.3869,117.9613,Fixation
825173856,SMP,1,758.5889,119.5040,Fixation
825177857,SMP,1,757.2371,120.8099,Fixation
825181857,SMP,1,758.6693,121.1184,Fixation
825185857,SMP,1,757.7462,123.7888,Fixation
825189858,SMP,1,757.5384,121.8756,Fixation
825193858,SMP,1,758.3770,123.1049,Fixation
825197858,SMP,1,758.1518,122.6807,Fixation
825201858,SMP,1,756.1252,121.0577,Fixation
825205859,SMP,1,755.7748,121.8066,Fixation
825209858,SMP,1,755.5286,117.6388,Fixation
825213857,SMP,1,754.8901,120.8817,Fixation
825217856,SMP,1,749.2947,123.0952,Fixation
825221855,SMP,1,745.2187,125.1277,Fixation
825225854,SMP,1,743.7869,134.0425,Fixation
825229853,SMP,1,745.3022,144.0264,Fixation
825233852,SMP,1,745.9650,151.0819,Fixation
825237851,SMP,1,746.4619,145.7414,Fixation
825241850,SMP,1,744.5349,152.5064,Fixation
825245849,SMP,1,744.3703,143.3127,Fixation
825249848,SMP,1,746.6290,144.2189,Fixation
825253847,SMP,1,748.5717,143.8723,Fixation
825257846,SMP,1,749.5697,145.2211,Fixation
825261845,SMP,1,752.5323,147.3915,Fixation
825265844,SMP,1,754.9972,151.2443,Fixation
825269842,SMP,1,758.1527,153.5529,Fixation
825273841,SMP,1,759.3800,152.6551,Fixation
825277840,SMP,1,761.6902,147.8649,Fixation
825281839,SMP,1,760.2026,145.1564,Fixation
825285838,SMP,1,759.1218,145.4796,Fixation
825289837,SMP,1,760.8484,148.9271,Fixation
825293836,SMP,1,758.9374,153.0454,Fixation
825297835,SMP,1,759.3670,161.0159,Fixation
825301834,SMP,1,758.4457,161.9422,Fixation
825305833,SMP,1,759.1798,164.9437,Fixation
